brand,category,model,price_inr,segment,rating,review_count,ram_gb,storage_gb,discount_pct,source_url,collection_date,data_status
HP,Laptop,Pavilion 15,54990,Mid,4.2,1850,16.0,512.0,12,,2026-09-16,Sample - To Be Verified
HP,Laptop,Victus 15,64990,Mid,4.3,920,16.0,512.0,10,,2026-09-16,Sample - To Be Verified
HP,Laptop,Spectre x360,124990,Premium,4.5,410,16.0,1024.0,8,,2026-09-16,Sample - To Be Verified
Dell,Laptop,Inspiron 15,49990,Budget,4.0,3200,8.0,512.0,15,,2026-09-16,Sample - To Be Verified
Dell,Laptop,XPS 13,119990,Premium,4.6,780,16.0,512.0,7,,2026-09-16,Sample - To Be Verified
Lenovo,Laptop,IdeaPad Slim 3,42990,Budget,3.9,4100,8.0,512.0,18,,2026-09-16,Sample - To Be Verified
Lenovo,Laptop,Legion 5,89990,Mid,4.4,1100,16.0,512.0,11,,2026-09-16,Sample - To Be Verified
HP,Printer,LaserJet M1005,10990,Budget,4.1,2200,,,5,,2026-09-16,Sample - To Be Verified
Canon,Printer,PIXMA G3010,13490,Budget,4.3,3400,,,8,,2026-09-16,Sample - To Be Verified
Epson,Printer,EcoTank L3250,15990,Mid,4.4,2900,,,6,,2026-09-16,Sample - To Be Verified
HP,Printer,Smart Tank 580,16990,Mid,4.2,1500,,,7,,2026-09-16,Sample - To Be Verified
Canon,Printer,PIXMA TS207,4490,Budget,3.8,5200,,,10,,2026-09-16,Sample - To Be Verified
