brand,model,review_text
HP,Pavilion 15,"Great build quality but battery life could be better for the price"
HP,Pavilion 15,"Fast performance, good for office work, customer support was slow"
HP,Victus 15,"Excellent for gaming, keyboard feels premium, gets a bit hot"
Dell,Inspiron 15,"Reliable laptop, boring design, battery lasts long"
Dell,Inspiron 15,"Good value for money but the screen quality is average"
Dell,XPS 13,"Beautiful display, expensive, build quality is top notch"
Lenovo,IdeaPad Slim 3,"Cheap and decent for students, plastic body feels flimsy"
Lenovo,Legion 5,"Amazing gaming performance, loud fans, great value"
Canon,PIXMA G3010,"Ink tank saves a lot of money, print quality is sharp"
Epson,EcoTank L3250,"Very economical, setup was confusing initially, prints are crisp"
HP,Smart Tank 580,"Good print quality but app connectivity issues reported by many users"
Canon,PIXMA TS207,"Budget friendly, cartridges run out fast, decent for occasional printing"
