brand,model,review_text,source_url,collection_date,data_status
HP,Pavilion 15,Great build quality but battery life could be better for the price,,2026-09-16,Sample - To Be Verified
HP,Pavilion 15,"Fast performance, good for office work, customer support was slow",,2026-09-16,Sample - To Be Verified
HP,Victus 15,"Excellent for gaming, keyboard feels premium, gets a bit hot",,2026-09-16,Sample - To Be Verified
Dell,Inspiron 15,"Reliable laptop, boring design, battery lasts long",,2026-09-16,Sample - To Be Verified
Dell,Inspiron 15,Good value for money but the screen quality is average,,2026-09-16,Sample - To Be Verified
Dell,XPS 13,"Beautiful display, expensive, build quality is top notch",,2026-09-16,Sample - To Be Verified
Lenovo,IdeaPad Slim 3,"Cheap and decent for students, plastic body feels flimsy",,2026-09-16,Sample - To Be Verified
Lenovo,Legion 5,"Amazing gaming performance, loud fans, great value",,2026-09-16,Sample - To Be Verified
Canon,PIXMA G3010,"Ink tank saves a lot of money, print quality is sharp",,2026-09-16,Sample - To Be Verified
Epson,EcoTank L3250,"Very economical, setup was confusing initially, prints are crisp",,2026-09-16,Sample - To Be Verified
HP,Smart Tank 580,Good print quality but app connectivity issues reported by many users,,2026-09-16,Sample - To Be Verified
Canon,PIXMA TS207,"Budget friendly, cartridges run out fast, decent for occasional printing",,2026-09-16,Sample - To Be Verified
